kbo_player_id,player_name,birth_date,professional_entry_year,official_join,official_draft,source_url,level,role,verified_through
50556,최준용,2001-10-10,2020,20롯데,20 롯데 1차,https://www.koreabaseball.com/Futures/Player/PitcherTotal.aspx?playerId=50556,futures,pitching,2025
50596,홍민기,2001-07-20,2020,20롯데,20 롯데 2차 1라운드 4순위,https://www.koreabaseball.com/Record/Player/PitcherDetail/Total.aspx?playerId=50596,first_team,pitching,2025
50596,홍민기,2001-07-20,2020,20롯데,20 롯데 2차 1라운드 4순위,https://www.koreabaseball.com/Futures/Player/PitcherTotal.aspx?playerId=50596,futures,pitching,2025
50600,홍종표,2000-05-02,2020,20KIA,20 KIA 2차 2라운드 16순위,https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=50600,first_team,hitting,2025
50600,홍종표,2000-05-02,2020,20KIA,20 KIA 2차 2라운드 16순위,https://www.koreabaseball.com/Futures/Player/HitterTotal.aspx?playerId=50600,futures,hitting,2025
50604,유지성,2000-11-15,2020,20KIA,20 KIA 2차 4라운드 36순위,https://www.koreabaseball.com/Record/Player/PitcherDetail/Total.aspx?playerId=50604,first_team,pitching,2025
50604,유지성,2000-11-15,2020,20KIA,20 KIA 2차 4라운드 36순위,https://www.koreabaseball.com/Futures/Player/PitcherTotal.aspx?playerId=50604,futures,pitching,2025
50608,이인한,1998-12-24,2020,24롯데,20 KIA 2차 9라운드 86순위,https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=50608,first_team,hitting,2025
50608,이인한,1998-12-24,2020,24롯데,20 KIA 2차 9라운드 86순위,https://www.koreabaseball.com/Futures/Player/HitterTotal.aspx?playerId=50608,futures,hitting,2025
50641,장재혁,2001-08-02,2020,22KIA,20 KIA 2차 6라운드 56순위,https://www.koreabaseball.com/Record/Player/PitcherDetail/Total.aspx?playerId=50641,first_team,pitching,2025
50641,장재혁,2001-08-02,2020,22KIA,20 KIA 2차 6라운드 56순위,https://www.koreabaseball.com/Futures/Player/PitcherTotal.aspx?playerId=50641,futures,pitching,2025
50650,최용준,2001-12-19,2020,21KIA,20 KIA 2차 10라운드 96순위,https://www.koreabaseball.com/Record/Player/PitcherDetail/Total.aspx?playerId=50650,first_team,pitching,2025
50650,최용준,2001-12-19,2020,21KIA,20 KIA 2차 10라운드 96순위,https://www.koreabaseball.com/Futures/Player/PitcherTotal.aspx?playerId=50650,futures,pitching,2025
50657,박민,2001-06-05,2020,20KIA,20 KIA 2차 1라운드 6순위,https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=50657,first_team,hitting,2025
50657,박민,2001-06-05,2020,20KIA,20 KIA 2차 1라운드 6순위,https://www.koreabaseball.com/Futures/Player/HitterTotal.aspx?playerId=50657,futures,hitting,2025
50662,정해영,2001-08-23,2020,20KIA,20 KIA 1차,https://www.koreabaseball.com/Record/Player/PitcherDetail/Total.aspx?playerId=50662,first_team,pitching,2025
50662,정해영,2001-08-23,2020,20KIA,20 KIA 1차,https://www.koreabaseball.com/Futures/Player/PitcherTotal.aspx?playerId=50662,futures,pitching,2025
50704,임종찬,2001-09-28,2020,20한화,20 한화 2차 3라운드 28순위,https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=50704,first_team,hitting,2025
50704,임종찬,2001-09-28,2020,20한화,20 한화 2차 3라운드 28순위,https://www.koreabaseball.com/Futures/Player/HitterTotal.aspx?playerId=50704,futures,hitting,2025
50705,강재민,1997-04-03,2020,20한화,20 한화 2차 4라운드 38순위,https://www.koreabaseball.com/Record/Player/PitcherDetail/Total.aspx?playerId=50705,first_team,pitching,2025
50705,강재민,1997-04-03,2020,20한화,20 한화 2차 4라운드 38순위,https://www.koreabaseball.com/Futures/Player/PitcherTotal.aspx?playerId=50705,futures,pitching,2025
50707,최인호,2000-01-30,2020,20한화,20 한화 2차 6라운드 58순위,https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=50707,first_team,hitting,2025
50707,최인호,2000-01-30,2020,20한화,20 한화 2차 6라운드 58순위,https://www.koreabaseball.com/Futures/Player/HitterTotal.aspx?playerId=50707,futures,hitting,2025
50709,박정현,2001-07-27,2020,20한화,20 한화 2차 8라운드 78순위,https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=50709,first_team,hitting,2025
50709,박정현,2001-07-27,2020,20한화,20 한화 2차 8라운드 78순위,https://www.koreabaseball.com/Futures/Player/HitterTotal.aspx?playerId=50709,futures,hitting,2025
50711,김승일,2001-07-07,2020,24한화,20 한화 2차 10라운드 98순위,https://www.koreabaseball.com/Record/Player/PitcherDetail/Total.aspx?playerId=50711,first_team,pitching,2025
50711,김승일,2001-07-07,2020,24한화,20 한화 2차 10라운드 98순위,https://www.koreabaseball.com/Futures/Player/PitcherTotal.aspx?playerId=50711,futures,pitching,2025
50812,박시후,2001-05-10,2020,22SSG,20 SK 2차 10라운드 100순위,https://www.koreabaseball.com/Record/Player/PitcherDetail/Total.aspx?playerId=50812,first_team,pitching,2025
50812,박시후,2001-05-10,2020,22SSG,20 SK 2차 10라운드 100순위,https://www.koreabaseball.com/Futures/Player/PitcherTotal.aspx?playerId=50812,futures,pitching,2025
50840,현원회,2001-07-08,2020,20SK,20 SK 2차 4라운드 40순위,https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=50840,first_team,hitting,2025
50840,현원회,2001-07-08,2020,20SK,20 SK 2차 4라운드 40순위,https://www.koreabaseball.com/Futures/Player/HitterTotal.aspx?playerId=50840,futures,hitting,2025
50848,김성민,2001-04-30,2020,20SK,20 SK 2차 2라운드 20순위,https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=50848,first_team,hitting,2025
50848,김성민,2001-04-30,2020,20SK,20 SK 2차 2라운드 20순위,https://www.koreabaseball.com/Futures/Player/HitterTotal.aspx?playerId=50848,futures,hitting,2025
50854,최지훈,1997-07-23,2020,20SK,20 SK 2차 3라운드 30순위,https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=50854,first_team,hitting,2025
50854,최지훈,1997-07-23,2020,20SK,20 SK 2차 3라운드 30순위,https://www.koreabaseball.com/Futures/Player/HitterTotal.aspx?playerId=50854,futures,hitting,2025
50859,오원석,2001-04-23,2020,20SK,20 SK 1차,https://www.koreabaseball.com/Record/Player/PitcherDetail/Total.aspx?playerId=50859,first_team,pitching,2025
50859,오원석,2001-04-23,2020,20SK,20 SK 1차,https://www.koreabaseball.com/Futures/Player/PitcherTotal.aspx?playerId=50859,futures,pitching,2025
50868,류효승,1996-07-16,2020,20SK,20 SK 2차 6라운드 60순위,https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=50868,first_team,hitting,2025
50868,류효승,1996-07-16,2020,20SK,20 SK 2차 6라운드 60순위,https://www.koreabaseball.com/Futures/Player/HitterTotal.aspx?playerId=50868,futures,hitting,2025
50901,안인산,2001-02-27,2020,20NC,20 NC 2차 3라운드 21순위,https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=50901,first_team,hitting,2025
50901,안인산,2001-02-27,2020,20NC,20 NC 2차 3라운드 21순위,https://www.koreabaseball.com/Futures/Player/HitterTotal.aspx?playerId=50901,futures,hitting,2025
50902,김한별,2001-01-18,2020,22NC,20 NC 2차 7라운드 61순위,https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=50902,first_team,hitting,2025
50902,김한별,2001-01-18,2020,22NC,20 NC 2차 7라운드 61순위,https://www.koreabaseball.com/Futures/Player/HitterTotal.aspx?playerId=50902,futures,hitting,2025
50903,한재환,2001-10-19,2020,24NC,20 NC 2차 8라운드 71순위,https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=50903,first_team,hitting,2025
50903,한재환,2001-10-19,2020,24NC,20 NC 2차 8라운드 71순위,https://www.koreabaseball.com/Futures/Player/HitterTotal.aspx?playerId=50903,futures,hitting,2025
50904,이종준,2001-03-09,2020,24LG,20 NC 2차 9라운드 81순위,https://www.koreabaseball.com/Record/Player/PitcherDetail/Total.aspx?playerId=50904,first_team,pitching,2025
50904,이종준,2001-03-09,2020,24LG,20 NC 2차 9라운드 81순위,https://www.koreabaseball.com/Futures/Player/PitcherTotal.aspx?playerId=50904,futures,pitching,2025
50906,박영빈,1997-07-16,2020,23NC,20 NC 육성선수,https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=50906,first_team,hitting,2025
50906,박영빈,1997-07-16,2020,23NC,20 NC 육성선수,https://www.koreabaseball.com/Futures/Player/HitterTotal.aspx?playerId=50906,futures,hitting,2025
50992,김태경,2001-04-07,2020,20NC,20 NC 1차,https://www.koreabaseball.com/Record/Player/PitcherDetail/Total.aspx?playerId=50992,first_team,pitching,2025
50992,김태경,2001-04-07,2020,20NC,20 NC 1차,https://www.koreabaseball.com/Futures/Player/PitcherTotal.aspx?playerId=50992,futures,pitching,2025
50996,박시원,2001-05-30,2020,20NC,20 NC 2차 2라운드 11순위,https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=50996,first_team,hitting,2025
50996,박시원,2001-05-30,2020,20NC,20 NC 2차 2라운드 11순위,https://www.koreabaseball.com/Futures/Player/HitterTotal.aspx?playerId=50996,futures,hitting,2025
51003,권동진,1998-09-12,2021,21KT,21 KT 2차 1라운드 5순위,https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=51003,first_team,hitting,2025
51003,권동진,1998-09-12,2021,21KT,21 KT 2차 1라운드 5순위,https://www.koreabaseball.com/Futures/Player/HitterTotal.aspx?playerId=51003,futures,hitting,2025
51005,김건형,1996-07-12,2021,21KT,21 KT 2차 8라운드 75순위,https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=51005,first_team,hitting,2025
51005,김건형,1996-07-12,2021,21KT,21 KT 2차 8라운드 75순위,https://www.koreabaseball.com/Futures/Player/HitterTotal.aspx?playerId=51005,futures,hitting,2025
51007,최성민,2002-07-05,2021,23KT,21 KT 2차 6라운드 55순위,https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=51007,first_team,hitting,2025
51007,최성민,2002-07-05,2021,23KT,21 KT 2차 6라운드 55순위,https://www.koreabaseball.com/Futures/Player/HitterTotal.aspx?playerId=51007,futures,hitting,2025
51013,유준규,2002-08-16,2021,21KT,21 KT 2차 3라운드 25순위,https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=51013,first_team,hitting,2025
